index,frb_name,fingerprint,name,timestamp,dm,fluence,width_ms,scattering_ms,ra,dec,snr,peak_freq
562,FRB20190619A,8e4bb5a82d73394982b8a11c393a0548fbaa387f28eb5d079ad10bd351f75aff,FRB20190619A,2019-06-19T01:16:36.544195,899.9116,3.3,0.000939,,165.18,68.37,15.9,552.9
563,FRB20190619B,f31c544d20589f499d88c1902ab4ff1e6f4b5f1acf7775caced410f1d8ad1da5,FRB20190619B,2019-06-19T05:45:49.612277,270.5868,4.5,0.000516,,231.74,82.15,19.0,400.2
564,FRB20190619C,64499b0fb52b76a3d15014a05b4fc06fdbedbfb510281e6c7d1b3335bc872c8d,FRB20190619C,2019-06-19T16:46:36.306826,488.2712,1.2,0.000399,,38.29,36.33,11.5,800.2
565,FRB20190619D,d8b9a3b07aeb90eca5b6edb9fcf77e3e34a7174f60ddd7883ecefb10d9e00568,FRB20190619D,2019-06-19T21:49:51.900413,378.466,6.5,0.00139,0.012,114.79,41.59,18.4,400.2
566,FRB20190621A,aadc3e1c4ba38f2d5c16fd3dfd4ba1bfb420bb6933ff4a93ed449b97a7fc31e9,FRB20190621A,2019-06-21T02:21:23.928250,197.32,0.9,0.0086,,188.22,74.19,11.1,400.7
567,FRB20190621B,092ab5bb84d92f40f9ab9ca57bf10c4c55ccc412c70b04a29bd82a656df8022a,FRB20190621B,2019-06-21T02:52:52.342723,1061.234,1.2,0.00138,,193.14,55.64,9.9,400.2
568,FRB20190621C,a09f94fedeb5c8c3fc2ff86a6b77d26deccc93feed4246f5b0fa15ac3258341e,FRB20190621C,2019-06-21T03:49:41.929680,570.2672,2.4,0.000443,,206.57,5.23,17.5,485.4
569,FRB20190621D,2018cfea3de2d4ff391183329b4d734d5664dd4b5b6d7be1a7890c03d5755228,FRB20190621D,2019-06-21T08:14:56.370077,647.514,4.3,0.00229,,270.63,78.89,20.0,472.1
570,FRB20190622A,1858d6f75ff0e85c04e31c24452bd779af15fb2c8c024ed45d9581e4bd45e05f,FRB20190622A,2019-06-22T09:46:17.711703,1122.818,1.3,0.00119,,298.98,85.81,13.7,411.9
571,FRB20190623A,82b00e03203793dff6e350253b290a1ea11627f9595dda8bf2e3f377a7b412bf,FRB20190623A,2019-06-23T07:56:31.617929,1082.201,0.9,0.00098,,270.48,24.52,11.1,469.8
572,FRB20190623B,f28b3bf0d41cd3608b57d0de75576cc133bc3e821060331b3deef37fc2a3d15c,FRB20190623B,2019-06-23T12:16:58.142939,1556.765,2.8,0.00197,0.00072,335.22,46.12,37.2,643.3
573,FRB20190623C,2f43bf82e0b2b0c84811dbad49275245c0ea744385cedb1501d9946c702be2e2,FRB20190623C,2019-06-23T15:08:04.523225,1049.826,5.9,0.0059,0.00159,192.31,86.03,15.0,400.2
574,FRB20190624A,ca35d8b9c367dfd0e39673cba44a384c8d8bfda83ffeb61228bcab7d3f0e3ba1,FRB20190624A,2019-06-24T01:09:39.480552,973.847,3.0,0.00152,0.00095,168.32,69.78,19.2,400.2
575,FRB20190624B,e2e1d208f66d070493b3a6ba206461c4948c8d5e13c0369c3babb11a3751d3ea,FRB20190624B,2019-06-24T22:11:06.441372,213.9222,20.0,0.000372,,304.65,73.61,80.4,598.8
576,FRB20190625A,7bb247120af1da0dad4406698379a53efa4813a2c5e4148c46bb097b67ea6754,FRB20190625A,2019-06-25T05:02:46.332931,302.14,11.9,0.00392,0.0169,227.91,32.88,38.7,400.2
577,FRB20190625E,86234e9c01941b3dd9c9f53c9d4b0faf6d2a78e3f8045443954bc599552837b4,FRB20190625E,2019-06-25T17:43:46.750406,188.533,4.2,0.00083,0.00066,65.54,73.63,27.8,434.6
578,FRB20190625E,f33a6bcb7c003afcc7d4b74c95e800cf74f35503eccdddfd976ef7136c5388b6,FRB20190625E,2019-06-25T17:43:46.757050,188.533,4.2,0.00097,0.00066,65.54,73.63,27.8,429.8
579,FRB20190625E,58d2b7fce77f82a87c219b59a1b6908869031ee4d28c4e20eea58bfcdc6e2912,FRB20190625E,2019-06-25T17:43:46.777725,188.533,4.2,0.00062,0.00066,65.54,73.63,27.8,400.2
580,FRB20190625C,d3bb9de295eb1da7c6dd39e6102736da93cdf94e0bf0eda007b826731e22922b,FRB20190625C,2019-06-25T18:36:27.835459,442.2388,4.0,0.000547,,73.2,11.1,21.1,410.7
581,FRB20190625D,8d9e0cb6fa939968fa37850a64093dc4cdbe102fc825612ed197dcdf63e53528,FRB20190625D,2019-06-25T21:27:17.483569,717.8831,12.1,0.000687,,115.02,4.87,66.9,450.0
582,FRB20190626A,149779dd2c65af8ee6744996c6854a3381f810e00ad2d11b11cdae95678076fc,FRB20190626A,2019-06-26T18:37:52.821293,192.49,5.3,0.00835,,65.54,73.63,17.6,423.0
583,FRB20190627A,56041012d5656d4cd1e2cb3f92fa9f29681349fc44aed8d1b5ecbaa3b16c2670,FRB20190627A,2019-06-27T02:46:47.455107,404.2213,2.6,0.000663,,195.89,0.75,14.7,474.6
584,FRB20190627B,1b881eabf844a881de5e020c57c83ce2bbcf87662db7a314b0de0f812753c5ea,FRB20190627B,2019-06-27T06:46:25.451298,430.3224,10.2,0.000444,0.00062,256.4,40.79,68.4,501.6
585,FRB20190627C,b9bdf76cfbedfd0f5e2dde85f52fa83d29232aa33e25f454b19ae73e837dddb3,FRB20190627C,2019-06-27T07:23:22.054966,968.6127,11.3,0.00082,0.00016,267.88,71.58,57.0,400.2
586,FRB20190627D,15f28ebe7c51c94b89c8ec155475708dc73ccb8dfd122483fb86d3b81b780c51,FRB20190627D,2019-06-27T09:21:51.686205,2002.242,1.5,0.00786,0.0027,295.33,43.84,15.0,482.4
587,FRB20190628A,04089376d6d7f722dab68092232ba39492e6c29bb03df8682c805b7ecd9e7da4,FRB20190628A,2019-06-28T02:51:49.794204,745.843,1.3,0.000477,,199.06,51.75,14.4,579.1
588,FRB20190628B,ed299363a94f165ba08388e2d828d99fa826db4f3c2e5cb1ff9dfc247ee1e694,FRB20190628B,2019-06-28T05:56:50.628273,408.009,1.4,0.00027,0.00047,248.48,80.14,16.3,400.2
589,FRB20190628C,8f7a847a0272894646743907832f28a62b8cb5d1ddd14a0fc20cc2349304ae28,FRB20190628C,2019-06-28T14:22:31.604073,1748.44,2.5,0.0042,0.0039,11.52,48.59,13.7,433.1
590,FRB20190629A,97fb381999209d8a5750b65166ddda8732d4b258e1ffb6101a51c538bf084ef4,FRB20190629A,2019-06-29T13:53:48.587729,503.779,3.0,0.00114,,6.34,12.67,13.2,568.2
591,FRB20190630B,bd1700d5ccce2c72eceabb6c20d1ee73a6b8f3332efcad3537325499b99a465a,FRB20190630B,2019-06-30T11:19:16.734394,652.145,14.7,0.00187,0.01197,328.21,43.01,93.3,526.8
592,FRB20190630A,ad1498d8ac448e914ff3ddca3b796d9321e89fac978431dbfcf0c84909d90938,FRB20190630A,2019-06-30T11:34:44.445901,392.438,4.8,0.00075,0.00518,331.71,17.37,31.2,476.6
593,FRB20190630C,3b9711b98ed13d0a2a32668a81a99cd69a029754e9edbbbe4f4fd7e3990d2776,FRB20190630C,2019-06-30T17:50:14.159495,1660.347,2.3,0.00121,,68.38,80.95,14.2,439.7
594,FRB20190630D,59ee0062ccbf1e20dfc7ad2e12aae47688543a74e74857392554aff8a23bfaa0,FRB20190630D,2019-06-30T22:59:53.987948,323.5174,2.6,0.000555,,143.36,8.9,19.7,400.2
595,FRB20190701A,0675dadbd02b7ad2a60f5aad405f7aa80bbb6fa7be069c2080904f25e75d7a76,FRB20190701A,2019-07-01T07:52:12.419751,637.0934,1.7,0.000608,,277.47,59.04,14.6,800.2
596,FRB20190701B,55e1449136c66fbb9a6ee83b2875e41a5ec2824c3c7e6eb990bb3461aa0b218f,FRB20190701B,2019-07-01T09:50:43.445547,749.114,1.9,0.00063,0.00034,302.93,80.18,17.5,471.5
597,FRB20190701C,798e25d3e880f1ec2cb98f5fa38807c0c8865b859cae0d3c7aa49ee32df43977,FRB20190701C,2019-07-01T19:37:14.872126,974.195,2.5,0.00144,,96.36,81.63,16.8,446.4
598,FRB20190701D,7f57488f68a4efba847d71ba09f81ffb8d703d235735bc4829d97a47e9eb6247,FRB20190701D,2019-07-01T20:54:07.897173,933.3629,8.6,0.0014,0.00153,112.1,66.7,44.8,467.6
599,FRB20190701E,9b4a4af10e47e7160f15eaa9b8eee9e15e7c9cfcf3386041c7aaaa912ca285b0,FRB20190701E,2019-07-01T22:32:03.568476,890.4771,2.0,0.00042,0.00067,138.57,61.71,16.7,410.3
