index,frb_name,fingerprint,name,fluence
398,FRB20190328A,b73e884f70d4926b963c3d3287ed6bd39bb4e9c3fe0f4a22fbad5a23a60c70e8,FRB20190328A,0.4
399,FRB20190328B,b5a8ffd18244f3e63b5d9565d6e36eb902a672db762200dedd95038ca199d01d,FRB20190328B,0.7
400,FRB20190328C,e46aead624da4f864138ea68b4672c34ff73a422e3b2c0e8814e19cc4a00aca9,FRB20190328C,4.7
401,FRB20190329B,290b2c0e42cda4c5244c20eab5d93752faedf88a0768958d9f6368844702dbd6,FRB20190329B,0.0
402,FRB20190329C,7bf4e7b38046f78c55aa13b065897978f8fc72556cc7edef4299d56b2f71a8c9,FRB20190329C,0.0
403,FRB20190329A,aa691b9aee537d395ddc07df63c4487d879eccf99fbb242ae9c481e0efdd976c,FRB20190329A,0.5
404,FRB20190330A,c2601baebb83f4fb1396e583d77246406ff086816145fba99f5d5c12575bd4a9,FRB20190330A,0.4
405,FRB20190330B,fcad5b087f71f9fa69c260e2950cb13fb20c6c8f7a4ac645abb8966c967b2b7d,FRB20190330B,2.8
406,FRB20190401A,9c5d54c18ee7c143ce90831b71471b213a25fb2d03d4520cb5cc433152281716,FRB20190401A,1.1
407,FRB20190402A,2e5666a2b793bbf42a9dc1d642cd48e9f63defab6108a7fcc0e74678eac0080d,FRB20190402A,0.3
408,FRB20190403G,2f8cddfbe41eaea02d4dbd3d7390d7847b5962e80e92e00dcc98462add8070e0,FRB20190403G,0.8
409,FRB20190403A,d1a74f5adff8905faab8768b2e034490a12c6169f979488ea9e1f8d62d132f84,FRB20190403A,1.1
410,FRB20190403B,1f531b6e8d1ba39c871c11fdbf58f38e26a7f92b02461c651c0a6f43395dae69,FRB20190403B,2.7
411,FRB20190403C,3cfe613c544b5411408cd5015c40dce35e306e939b78b3634e050ff7f0559537,FRB20190403C,0.4
412,FRB20190403D,611c77367f8daa040f7848018c7ca6760297527d9a3dab5193132aa2ee9f29d4,FRB20190403D,0.7
413,FRB20190403E,bbf51797e076d17a74d0284e594909cbd4ef18d764ef7e2cfb10850240b34bd8,FRB20190403E,3.9
414,FRB20190403F,f46c33fa5ca9f5ec91bbb64df1ea17aafa154b3fecc1f3ca3b73a96cf69acbd6,FRB20190403F,0.6
415,FRB20190404A,813164c3daae9fccc03ddbc029c3d37edbd6404849af6d4b0786043891ef49b5,FRB20190404A,1.2
416,FRB20190404B,f1597195ccf38f77616506acbad4f041c759e905853e69a18ff6d3fc8cc4cfa5,FRB20190404B,8.6
417,FRB20190405A,ed5cf643fc2c76b041d3620429dcadb32c61aac89a0d6e02175d7d446bea94d8,FRB20190405A,0.7
418,FRB20190405B,4264c94d81661bd7aa176d9e6b766fcde6b47084103a38e7e735e3e05b8236c9,FRB20190405B,3.4
419,FRB20190406A,a0839d6f5d704dfdf8dcd470dbd46bf91b5d4dde50b715f658978190042d1b4e,FRB20190406A,0.5
420,FRB20190408A,9715224665fe358d71256039d52e01cf6752ce2f155854debdd8a30f4c2dbfbf,FRB20190408A,0.6
421,FRB20190409A,adf6282200e79c52c9a1fe6a180f633a253f43ba111a6b541d93800ded4ed6d0,FRB20190409A,3.0
422,FRB20190409B,4d64990809f5a7405ecd118c84b11dc81c3af846f8a09082ad6856fe29a47fb3,FRB20190409B,0.4
423,FRB20190409C,dedd54161aca5addf3afcec411be1f8c50bb7d80ccc55ba5ef8777751b4abcb0,FRB20190409C,1.0
424,FRB20190409D,e199ed36607e39de831677c67370222d20519d2127ba9902ff59e3ba68198571,FRB20190409D,0.6
425,FRB20190410A,e32ed8525435f2b124d43c5e1248404d864ea50c9727c4f2a4896f97309048cd,FRB20190410A,1.6
426,FRB20190410B,6389fd68e3a5aba4952aab11ad99154ba71220e275f66d0ec3a9cabe636a8269,FRB20190410B,0.2
427,FRB20190411A,5dd41ae84c89b70b62a8f449ab50087c0c29eba6d89aa4b53eb7224d90b5e65a,FRB20190411A,1.2
428,FRB20190411B,3ff3ea38177bce79a746e18dbdbc48021b7e8c844782d289c34afa48e4df73ca,FRB20190411B,0.9
429,FRB20190411C,e5a353df8b980e98564ddca308d81698bca48f70ae13a6ef748a8dc9278e3578,FRB20190411C,3.2
430,FRB20190411C,e5a353df8b980e98564ddca308d81698bca48f70ae13a6ef748a8dc9278e3578,FRB20190411C,3.2
431,FRB20190412A,dec33f0a0547a4dd0e5bfbfdff4219cc97d7bd2ec3e090e6c64a45a93b97bef6,FRB20190412A,1.8
432,FRB20190412B,071b51c23a9aed2ab19cefc3e873e2b21f81f6be39be9a52951ae891bba0fd20,FRB20190412B,0.7
433,FRB20190414A,2b9c10c0d8a3510265942464d2cfb6a2db16d3ac43d446893b55c4be8bf22e91,FRB20190414A,0.4
434,FRB20190414B,e614c58d7e8e653edd2e556270c9ebde3cff645ac26e485e9585a2a35eeb1bc7,FRB20190414B,0.5
435,FRB20190415A,1b1f5ec5c2af57c9eec7e1378a080ad55cb59598f184fdcbedfdd6f46db2449c,FRB20190415A,0.6
436,FRB20190415B,e4c43809121ca2b3b15de8a186dbf553c1557a57fb2a64e5048a72cf8c30e3c7,FRB20190415B,0.8
437,FRB20190415C,6a05ab93c490ca2ed20c53d566175eee44d7ff0590ebe6ae5a7df34de83982f6,FRB20190415C,0.5
438,FRB20190416A,7b22979f5db68fccae384ddb32f4dbf9459b9a628e1157d87997b5f2204076c6,FRB20190416A,0.6
439,FRB20190416B,59fd4d0a549f070d30269b931723bfc58b3a2fc9d8ac83af0a690c9d4a4f7ce5,FRB20190416B,0.7
440,FRB20190417B,aab34d80cc2cb5f73ba442d2e7e4769c266b2ba5534fc4368c1b0408764dc29a,FRB20190417B,0.5
441,FRB20190417A,0630b40498348c2edb62dc933b351a357ae93bd9515bda2797f8c8a8e89b67de,FRB20190417A,0.5
442,FRB20190417C,4b35c5599168f998f0e4bd1f58813d0b4c9817b4d05af29576452490b10df7b7,FRB20190417C,7.9
443,FRB20190418A,71123c3d7865505ad5b7b3654b529ae47fc3df76535aec4d213eaf1c9159fe96,FRB20190418A,1.0
444,FRB20190419A,83db9a89096883008b01acd385ca72416e316626555c9a169961eeacc7d7c02b,FRB20190419A,0.4
445,FRB20190419B,48116897806cee61a7cf69a188a6ce3d4085645eb5747a2e568282147a9e8171,FRB20190419B,4.6
446,FRB20190420B,e831a85081987e556900714336f5fc1d8577669a79576bb11e972f27934ba0de,FRB20190420B,2.2
447,FRB20190420A,a6b0d084397445a81dbfefc72f74c4d5704f2b395e51881f0a6096c34e06b99d,FRB20190420A,0.9
448,FRB20190420C,a3589f81b3a5f480760ef897643ea540070f83ddb3ffb4905134c8ae1355bb2d,FRB20190420C,0.4
449,FRB20190421A,5460171266557678c6db54ed8d73fc11f2ee1cc8297a419ea64b3f1346822a76,FRB20190421A,0.4
450,FRB20190421A,5460171266557678c6db54ed8d73fc11f2ee1cc8297a419ea64b3f1346822a76,FRB20190421A,0.4
451,FRB20190421B,825692879cdbd1c4c7a30ce2ea800e481ba584d83c1ceaac50e6d2ef1cd8849f,FRB20190421B,5.1
452,FRB20190422B,75b7682dc137106777057dd84076388bc9ece5b68cf04320a4a446b7464baa3c,FRB20190422B,0.2
453,FRB20190422A,f06846f850f32688656f1559b559c7e215a1f26f50bcf96b2c19e60023e528ca,FRB20190422A,0.6
454,FRB20190422A,f06846f850f32688656f1559b559c7e215a1f26f50bcf96b2c19e60023e528ca,FRB20190422A,0.6
455,FRB20190422A,f06846f850f32688656f1559b559c7e215a1f26f50bcf96b2c19e60023e528ca,FRB20190422A,0.6
456,FRB20190423A,3e4811c43a6afcab4ae814aec3f64c6e8efff39bc09810efcd9afa704dcf1532,FRB20190423A,10.8
457,FRB20190423A,3e4811c43a6afcab4ae814aec3f64c6e8efff39bc09810efcd9afa704dcf1532,FRB20190423A,10.8
458,FRB20190423B,b281fbef498e8b5bfe035c8bd9ebbd3226892f5173dbd3f93679c2d701c62da1,FRB20190423B,0.9
459,FRB20190423B,b281fbef498e8b5bfe035c8bd9ebbd3226892f5173dbd3f93679c2d701c62da1,FRB20190423B,0.9
460,FRB20190423C,2161e6a1e3a7c38ea838dd41295a186f0d40637e1ad5386a7ade41c471c86f7c,FRB20190423C,1.2
461,FRB20190423D,9803a999825b5425b7c32bf20179e0760212f678cd8f9adb2cdc6653a669a232,FRB20190423D,1.7
462,FRB20190424A,28d8f822ec654e843eccb3723b11c3a5dd9002356962d6fbb818d951d8793ea8,FRB20190424A,1.1
463,FRB20190425A,58a5fc9ba79b4238e25bba5b4b7172452b87cb15b6cbccf39ceb173d5fa336e4,FRB20190425A,18.6
464,FRB20190425B,a664f0f4362068b70a562d3dee04ac5490a8eab22becba3429ce13bd6ff3cab8,FRB20190425B,1.2
465,FRB20190426A,f26b689954d8e80cf5109d79a708be4ebbc75b7cdcb4fbc7d2af5fc32d4d7374,FRB20190426A,1.6
466,FRB20190427A,5714c31cbfc5e1e5a20d62951b16612d3a6b8ebf35e9d888efd954ca257a882e,FRB20190427A,3.9
